Player Id,Name,Year,Team,Passing_Yards
tomfarris/2513861,"Farris, Tom",1948,Chicago Rockets,--
tomfarris/2513861,"Farris, Tom",1947,Chicago Bears,0
tomfarris/2513861,"Farris, Tom",1946,Chicago Bears,108
billdemory/2512778,"Demory, Bill",1974,New York Jets,--
billdemory/2512778,"Demory, Bill",1973,New York Jets,159
breezyreid/2523928,"Reid, Breezy",1956,Green Bay Packers,--
breezyreid/2523928,"Reid, Breezy",1955,Green Bay Packers,--
breezyreid/2523928,"Reid, Breezy",1954,Green Bay Packers,--
breezyreid/2523928,"Reid, Breezy",1953,Green Bay Packers,--
breezyreid/2523928,"Reid, Breezy",1952,Green Bay Packers,--
breezyreid/2523928,"Reid, Breezy",1951,Green Bay Packers,0
breezyreid/2523928,"Reid, Breezy",1950,Green Bay Packers,--
johnnyknolla/2518652,"Knolla, Johnny",1945,Chicago Cardinals,0
johnnyknolla/2518652,"Knolla, Johnny",1942,Chicago Cardinals,16
alnichelini/2522114,"Nichelini, Al",1936,Chicago Cardinals,--
alnichelini/2522114,"Nichelini, Al",1935,Chicago Cardinals,16
tomsavage/2543640,"Savage, Tom",2016,Houston Texans,461
tomsavage/2543640,"Savage, Tom",2014,Houston Texans,127
jackscarbath/2524989,"Scarbath, Jack",1956,Pittsburgh Steelers,208
jackscarbath/2524989,"Scarbath, Jack",1954,Washington Redskins,798
jackscarbath/2524989,"Scarbath, Jack",1953,Washington Redskins,862
tommymaddox/2501842,"Maddox, Tommy",2005,Pittsburgh Steelers,406
tommymaddox/2501842,"Maddox, Tommy",2004,Pittsburgh Steelers,329
tommymaddox/2501842,"Maddox, Tommy",2003,Pittsburgh Steelers,"3,414"
tommymaddox/2501842,"Maddox, Tommy",2002,Pittsburgh Steelers,"2,836"
tommymaddox/2501842,"Maddox, Tommy",2001,Pittsburgh Steelers,154
tommymaddox/2501842,"Maddox, Tommy",1995,New York Giants,49
tommymaddox/2501842,"Maddox, Tommy",1994,Los Angeles Rams,141
tommymaddox/2501842,"Maddox, Tommy",1993,Denver Broncos,1
tommymaddox/2501842,"Maddox, Tommy",1992,Denver Broncos,757
jimbobtaylor/2527093,"Taylor, Jim Bob",1983,Baltimore Colts,20
harrynewman/2522100,"Newman, Harry",1935,New York Giants,132
harrynewman/2522100,"Newman, Harry",1934,New York Giants,391
harrynewman/2522100,"Newman, Harry",1933,New York Giants,973
kennyharrison/2516009,"Harrison, Kenny",1980,Washington Redskins,--
kennyharrison/2516009,"Harrison, Kenny",1978,San Francisco 49ers,--
kennyharrison/2516009,"Harrison, Kenny",1977,San Francisco 49ers,0
kennyharrison/2516009,"Harrison, Kenny",1976,San Francisco 49ers,--
paulmaguire/2519977,"Maguire, Paul",1970,Buffalo Bills,--
paulmaguire/2519977,"Maguire, Paul",1969,Buffalo Bills,19
paulmaguire/2519977,"Maguire, Paul",1968,Buffalo Bills,--
paulmaguire/2519977,"Maguire, Paul",1967,Buffalo Bills,--
paulmaguire/2519977,"Maguire, Paul",1966,Buffalo Bills,--
paulmaguire/2519977,"Maguire, Paul",1965,Buffalo Bills,--
paulmaguire/2519977,"Maguire, Paul",1964,Buffalo Bills,--
paulmaguire/2519977,"Maguire, Paul",1963,San Diego Chargers,--
paulmaguire/2519977,"Maguire, Paul",1962,San Diego Chargers,--
paulmaguire/2519977,"Maguire, Paul",1961,San Diego Chargers,--
paulmaguire/2519977,"Maguire, Paul",1960,Los Angeles Chargers,--
hopalongcassady/2511257,"Cassady, Hopalong",1963,Detroit Lions,--
hopalongcassady/2511257,"Cassady, Hopalong",1962,Philadelphia Eagles,--
hopalongcassady/2511257,"Cassady, Hopalong",1962,Cleveland Browns,--
hopalongcassady/2511257,"Cassady, Hopalong",1961,Detroit Lions,0
hopalongcassady/2511257,"Cassady, Hopalong",1960,Detroit Lions,--
hopalongcassady/2511257,"Cassady, Hopalong",1959,Detroit Lions,--
hopalongcassady/2511257,"Cassady, Hopalong",1958,Detroit Lions,--
hopalongcassady/2511257,"Cassady, Hopalong",1957,Detroit Lions,--
hopalongcassady/2511257,"Cassady, Hopalong",1956,Detroit Lions,0
cliffaberson/2508159,"Aberson, Cliff",1946,Green Bay Packers,184
tonykaska/2518165,"Kaska, Tony",1938,Brooklyn Dodgers,--
tonykaska/2518165,"Kaska, Tony",1937,Brooklyn Dodgers,--
tonykaska/2518165,"Kaska, Tony",1936,Brooklyn Dodgers,0
tonykaska/2518165,"Kaska, Tony",1935,Detroit Lions,--
chriscagle/2510895,"Cagle, Chris",1934,Brooklyn Dodgers,224
chriscagle/2510895,"Cagle, Chris",1933,Brooklyn Dodgers,457
chriscagle/2510895,"Cagle, Chris",1932,New York Giants,68
chriscagle/2510895,"Cagle, Chris",1931,New York Giants,--
chriscagle/2510895,"Cagle, Chris",1930,New York Giants,--
erniepinckert/2523251,"Pinckert, Ernie",1940,Washington Redskins,--
erniepinckert/2523251,"Pinckert, Ernie",1939,Washington Redskins,--
erniepinckert/2523251,"Pinckert, Ernie",1938,Washington Redskins,--
erniepinckert/2523251,"Pinckert, Ernie",1937,Washington Redskins,--
erniepinckert/2523251,"Pinckert, Ernie",1936,Boston Redskins,--
erniepinckert/2523251,"Pinckert, Ernie",1935,Boston Redskins,--
erniepinckert/2523251,"Pinckert, Ernie",1934,Boston Redskins,--
erniepinckert/2523251,"Pinckert, Ernie",1933,Boston Redskins,0
erniepinckert/2523251,"Pinckert, Ernie",1932,Boston Braves,--
billybarnes/2509009,"Barnes, Billy",1966,Minnesota Vikings,--
billybarnes/2509009,"Barnes, Billy",1965,Minnesota Vikings,--
